               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075258,            0.016418,            0.027637,             0.40772,             0.25495,             0.27067,             0.11038,             0.05957,           0.0086161,            0.034433,            0.070009,           0.0033324,           0.0033324
                   1,            0.054754,            0.012055,              0.0114,             0.54248,             0.46516,              0.4154,             0.14504,            0.053201,           0.0079007,            0.021679,            0.039943,           0.0065997,           0.0065997
                   2,             0.05188,            0.011799,            0.010292,             0.43173,              0.3672,             0.35362,             0.11568,            0.055473,           0.0089611,            0.020982,           0.0098107,            0.009801,            0.009801
                   3,            0.050518,            0.011921,            0.010167,             0.44758,             0.45709,             0.35499,             0.13735,            0.055982,           0.0079996,            0.020528,            0.009703,            0.009703,            0.009703
                   4,            0.047429,            0.011558,           0.0087667,             0.55205,             0.45988,              0.4395,             0.16193,            0.053493,           0.0081419,            0.018962,            0.009703,            0.009703,            0.009703
                   5,            0.044791,            0.010993,           0.0077034,             0.47736,             0.46984,             0.39938,             0.18608,            0.052168,           0.0079603,            0.019732,            0.009604,            0.009604,            0.009604
                   6,            0.043259,            0.010786,           0.0069608,             0.64197,             0.45651,             0.46386,             0.18736,            0.050554,           0.0084488,            0.017888,            0.009505,            0.009505,            0.009505
                   7,            0.041951,            0.010589,           0.0063408,             0.59417,             0.46662,              0.4463,             0.19502,            0.051362,           0.0081843,            0.020018,            0.009406,            0.009406,            0.009406
                   8,            0.040497,            0.010241,            0.006036,             0.56606,             0.47561,             0.44284,             0.18811,            0.050025,           0.0083395,            0.020096,            0.009307,            0.009307,            0.009307
                   9,            0.040032,            0.010168,           0.0059862,             0.73075,             0.47885,             0.50107,             0.21458,            0.047614,           0.0082032,            0.017322,            0.009208,            0.009208,            0.009208
                  10,            0.039127,            0.010049,           0.0056194,             0.52364,             0.47685,             0.43498,             0.21277,            0.047451,            0.008403,            0.019079,            0.009109,            0.009109,            0.009109
                  11,            0.038761,            0.010217,           0.0056002,             0.55047,             0.56237,              0.5102,             0.24366,            0.047088,             0.00832,            0.017703,             0.00901,             0.00901,             0.00901
                  12,            0.037858,           0.0099151,           0.0052609,             0.64879,             0.47433,              0.5233,             0.24943,            0.046561,           0.0084635,            0.017525,            0.008911,            0.008911,            0.008911
                  13,            0.037532,           0.0098196,           0.0052461,             0.57782,                 0.5,             0.47333,             0.22136,            0.047194,           0.0082266,            0.015025,            0.008812,            0.008812,            0.008812
                  14,            0.036916,           0.0096374,           0.0050873,             0.57981,              0.5601,             0.51043,             0.24713,            0.045207,           0.0077433,            0.017095,            0.008713,            0.008713,            0.008713
                  15,            0.036533,           0.0096834,            0.004639,             0.58384,             0.54531,             0.50743,             0.23881,            0.046579,           0.0079282,            0.018108,            0.008614,            0.008614,            0.008614
                  16,            0.036117,           0.0096064,           0.0047601,             0.59677,             0.55055,             0.51804,             0.24887,             0.04619,           0.0080773,            0.014964,            0.008515,            0.008515,            0.008515
                  17,            0.035455,           0.0095336,           0.0045828,             0.56267,             0.52581,             0.49107,             0.23394,            0.045746,           0.0080598,            0.015737,            0.008416,            0.008416,            0.008416
                  18,            0.035264,            0.009334,           0.0044204,              0.6121,             0.51697,             0.50935,              0.2415,            0.046575,           0.0080952,            0.015306,            0.008317,            0.008317,            0.008317
                  19,            0.034811,           0.0093334,           0.0043141,              0.5901,             0.55851,             0.54449,             0.26918,            0.045344,           0.0078101,            0.017063,            0.008218,            0.008218,            0.008218
                  20,            0.034607,           0.0092373,           0.0042738,             0.63737,             0.50416,             0.53799,             0.26718,            0.045731,           0.0080107,            0.014227,            0.008119,            0.008119,            0.008119
                  21,            0.034327,           0.0092081,           0.0041554,             0.61573,             0.57088,             0.57239,             0.28183,            0.044732,           0.0081517,            0.013717,             0.00802,             0.00802,             0.00802
                  22,            0.034195,           0.0093004,            0.004393,             0.58822,             0.58024,              0.5362,             0.27141,            0.043908,           0.0078796,            0.015807,            0.007921,            0.007921,            0.007921
                  23,            0.033872,           0.0092377,           0.0039778,             0.65999,             0.51493,             0.54971,             0.28397,            0.044646,            0.007929,             0.01466,            0.007822,            0.007822,            0.007822
                  24,            0.033747,           0.0090691,           0.0044026,             0.67468,             0.52433,             0.54799,             0.28024,            0.044426,           0.0077731,            0.014878,            0.007723,            0.007723,            0.007723
                  25,            0.033292,           0.0090626,            0.004178,             0.64387,              0.5263,             0.55725,             0.29256,            0.044463,           0.0079924,            0.014831,            0.007624,            0.007624,            0.007624
                  26,            0.033307,           0.0090071,           0.0037528,             0.58292,             0.58538,             0.56426,             0.29146,            0.043807,           0.0077714,            0.014465,            0.007525,            0.007525,            0.007525
                  27,            0.033001,           0.0089742,           0.0040539,             0.65594,              0.5316,              0.5537,             0.29113,            0.043909,           0.0079949,            0.014212,            0.007426,            0.007426,            0.007426
                  28,            0.032768,           0.0089362,           0.0037293,             0.57603,              0.5994,              0.5552,             0.28787,            0.043697,           0.0079608,            0.014547,            0.007327,            0.007327,            0.007327
                  29,            0.032658,           0.0089241,           0.0037894,             0.64843,             0.55431,             0.57118,             0.29764,            0.042549,           0.0079743,            0.015391,            0.007228,            0.007228,            0.007228
                  30,            0.032404,           0.0087693,           0.0038073,             0.60299,              0.5742,             0.55857,             0.28971,            0.043394,           0.0080664,            0.015961,            0.007129,            0.007129,            0.007129
                  31,            0.032345,           0.0089183,           0.0038086,                0.69,              0.5381,              0.5677,             0.29591,            0.044356,           0.0079336,            0.016106,             0.00703,             0.00703,             0.00703
                  32,            0.032136,           0.0087855,           0.0037931,             0.66127,             0.56212,             0.58057,             0.31177,            0.043125,            0.007733,            0.015051,            0.006931,            0.006931,            0.006931
                  33,            0.031545,           0.0087553,           0.0034449,             0.66198,             0.57363,             0.59707,              0.3179,            0.042837,           0.0077361,            0.015372,            0.006832,            0.006832,            0.006832
                  34,            0.031581,           0.0086601,           0.0036764,             0.63669,              0.5738,             0.56674,             0.30206,            0.043313,           0.0078293,            0.015125,            0.006733,            0.006733,            0.006733
                  35,            0.031323,           0.0085815,           0.0036734,             0.60211,             0.59029,             0.55099,              0.2965,            0.042834,           0.0077518,            0.015216,            0.006634,            0.006634,            0.006634
                  36,            0.031128,           0.0086079,           0.0032251,             0.64161,             0.57673,             0.57526,             0.32162,            0.041657,           0.0077478,            0.014796,            0.006535,            0.006535,            0.006535
                  37,            0.031189,           0.0085639,           0.0031981,             0.62667,              0.6183,             0.59782,             0.32816,            0.041425,             0.00745,            0.015068,            0.006436,            0.006436,            0.006436
